chunk_strategy,chunk_size,overlap,dim,quant,strategy,P@5,R@5,MRR,NDCG@5,Hit@5,MAP,search_sec
fixed_512,1024,0.1,2048,int8,S2,0.2,1.0,0.9545,0.9664,1.0,0.9545,19.61
fixed_512,1024,0.1,4096,int8,S2,0.2,1.0,0.9545,0.9664,1.0,0.9545,18.77
fixed_512,2048,0.1,2048,int8,S2,0.2,1.0,0.9508,0.9635,1.0,0.9508,22.48
fixed_512,2048,0.1,4096,int8,S2,0.2,1.0,0.9508,0.9635,1.0,0.9508,22.58
