source,path,name,extension,size_bytes,size_mb,pages,chars,avg_chars_per_page,low_text_pages,status,extracted_path,sample,error
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\izv-3-10092018.pdf,izv-3-10092018.pdf,.pdf,73511,0.07,1,1044,1025.0,0,read,data\extracted_text\rko_izdaniya\izv-3-10092018__01b62d23de.txt,"===== PAGE 1 =====
ИЗВЕЩЕНИЕ № 3 
О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПРАВИЛА КЛАССИФИКАЦИИ 
И ОСВИДЕТЕЛЬСТВОВАНИЯ ПЛАВУЧИХ ОБЪЕКТОВ (ПКПО) 
РОССИЙСКОГО РЕЧНОГО РЕГИСТРА, 
утвержденные приказом федерального автономного учреждения «Российский Речной Регистр» 
от 17.03.2017 № 35-п 
Утверждено 
приказом федерального автономного учреждения «Российский Реч-
ной Регистр» от 04.09.2018 № 69-п 
Введено в действие 
с 10.09.2018 
Внести в Правила классификации и освидетельствования плавучих объектов (ПКПО) 
следующие",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\izv-4-25122018.pdf,izv-4-25122018.pdf,.pdf,190883,0.182,5,10004,1980.2,0,read,data\extracted_text\rko_izdaniya\izv-4-25122018__6a37cee38c.txt,"===== PAGE 1 =====
ИЗВЕЩЕНИЕ № 4 
О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПРАВИЛА КЛАССИФИКАЦИИ 
И ОСВИДЕТЕЛЬСТВОВАНИЯ ПЛАВУЧИХ ОБЪЕКТОВ (ПКПО) 
РОССИЙСКОГО РЕЧНОГО РЕГИСТРА, 
утвержденные приказом федерального автономного учреждения «Российский Речной 
Регистр» от 17.03.2017 № 35-п 
Утверждено 
приказом федерального автономного учреждения «Российский Реч-
ной Регистр» от 25.12.2018 № 107-п 
Введено в действие 
с 28.12.2018 
Внести в Правила классификации и освидетельствования плавучих объектов (ПКПО) сле-
дующи",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\izveshchenie-6-v-pkpo2.pdf,izveshchenie-6-v-pkpo2.pdf,.pdf,47245,0.045,1,1927,1908.0,0,read,data\extracted_text\rko_izdaniya\izveshchenie-6-v-pkpo2__bdb51b7936.txt,"===== PAGE 1 =====
ИЗВЕЩЕНИЕ № 6 
О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПРАВИЛА 
РОССИЙСКОГО КЛАССИФИКАЦИОННОГО ОБЩЕСТВА 
(в Правила классификации и освидетельствования плавучих объектов (ПКПО), 
утвержденные приказом федерального автономного учреждения 
«Российский Речной Регистр» от 17.03.2017 № 35-п). 
Утверждено 
приказом 
федерального 
автономного 
учреждения 
«Российское 
Классификационное Общество» от 21.04.2023 № 34-п. 
Введено в действие с 24.04.2023 
 
Пункт 3.2.10 Правил классификации и освидетельст",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\izveshchenie-7-v-pkpo.pdf,izveshchenie-7-v-pkpo.pdf,.pdf,102771,0.098,3,6598,2179.0,0,read,data\extracted_text\rko_izdaniya\izveshchenie-7-v-pkpo__2618ae5d0b.txt,"===== PAGE 1 =====
ИЗВЕЩЕНИЕ № 7 
О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПРАВИЛА 
РОССИЙСКОГО КЛАССИФИКАЦИОННОГО ОБЩЕСТВА 
(в Правила классификации и освидетельствования плавучих объектов (ПКПО), 
утвержденные приказом федерального автономного учреждения 
«Российский Речной Регистр» от 17.03.2017 № 35-п). 
Утверждено 
приказом 
федерального 
автономного 
учреждения 
«Российское 
Классификационное Общество» от 24.05.2024 № 43-п. 
Введено в действие с 27.05.2024 
Внести в Правила классификации и освидетельствован",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\izveshchenie_8_v_pkpo_08-04-2025.pdf,izveshchenie_8_v_pkpo_08-04-2025.pdf,.pdf,31347,0.03,1,765,746.0,0,read,data\extracted_text\rko_izdaniya\izveshchenie_8_v_pkpo_08-04-2025__d98bdd5999.txt,"===== PAGE 1 =====
ИЗВЕЩЕНИЕ № 8 
О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПРАВИЛА 
РОССИЙСКОГО КЛАССИФИКАЦИОННОГО ОБЩЕСТВА 
(в Правила классификации и освидетельствования плавучих объектов (ПКПО), 
утвержденные приказом федерального автономного учреждения 
«Российский Речной Регистр» от 17.03.2017 № 35-п). 
Утверждено 
приказом 
федерального 
автономного 
учреждения 
«Российское 
Классификационное Общество» от 08.04.2025 № 16-п. 
Введено в действие с 11.04.2025 
Внести в Правила классификации и освидетельствован",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\izveshchenie_no_9_v_pkpo_rko_utverzhdeno_prikazom_rko_ot_23-04-2025_no_22-p.pdf,izveshchenie_no_9_v_pkpo_rko_utverzhdeno_prikazom_rko_ot_23-04-2025_no_22-p.pdf,.pdf,41972,0.04,2,3855,1907.5,0,read,data\extracted_text\rko_izdaniya\izveshchenie_no_9_v_pkpo_rko_utverzhdeno_prikazom_rko_ot_23-04-2025_no_22-p__7c96cc20e3.txt,"===== PAGE 1 =====
ИЗВЕЩЕНИЕ № 9 
О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПРАВИЛА 
РОССИЙСКОГО КЛАССИФИКАЦИОННОГО ОБЩЕСТВА 
(в Правила классификации и освидетельствования плавучих объектов (ПКПО), 
утвержденные приказом федерального автономного учреждения 
«Российский Речной Регистр» от 17.03.2017 № 35-п). 
Утверждено 
приказом 
федерального 
автономного 
учреждения 
«Российское 
Классификационное Общество» от 23.04.2025 № 22-п. 
Введено в действие с 26.04.2025 
Внести в Правила классификации и освидетельствован",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\ot_01-06-2018_no_39-p-_vvedeny_v_dejstvie_s_06-06-2018.pdf,ot_01-06-2018_no_39-p-_vvedeny_v_dejstvie_s_06-06-2018.pdf,.pdf,735735,0.702,86,231566,2670.8,0,read,data\extracted_text\rko_izdaniya\ot_01-06-2018_no_39-p-_vvedeny_v_dejstvie_s_06-06-2018__1340fcc576.txt,"===== PAGE 1 =====
РОССИЙСКИЙ РЕЧНОЙ РЕГИСТР 
ПРАВИЛА 
ПРАВИЛА КЛАССИФИКАЦИИ 
И ОСВИДЕТЕЛЬСТВОВАНИЯ ПЛАВУЧИХ ОБЪЕКТОВ 
(ПКПО) 
 
МОСКВА 2017

===== PAGE 2 =====
Российский Речной Регистр. Правила классификации и освидетельствования плавучих
объектов (ПКПО). 86 с. 
Правила классификации и освидетельствования плавучих объектов (ПКПО) утвержде-
ны приказом федерального автономного учреждения «Российский Речной Регистр» от 
17.03.2017 № 35-п и вступили в силу с 23.03.2017. 
Настоящее переиздание Пра",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\ot_04-09-2018_no_69-p-_vvedeny_v_dejstvie_s_10-09-2018.pdf,ot_04-09-2018_no_69-p-_vvedeny_v_dejstvie_s_10-09-2018.pdf,.pdf,1063570,1.014,85,231687,2703.9,0,read,data\extracted_text\rko_izdaniya\ot_04-09-2018_no_69-p-_vvedeny_v_dejstvie_s_10-09-2018__ac1f4d0619.txt,"===== PAGE 1 =====
РОССИЙСКИЙ РЕЧНОЙ РЕГИСТР 
ПРАВИЛА 
ПРАВИЛА КЛАССИФИКАЦИИ 
И ОСВИДЕТЕЛЬСТВОВАНИЯ ПЛАВУЧИХ ОБЪЕКТОВ 
(ПКПО) 
 
МОСКВА 2017

===== PAGE 2 =====
Российский Речной Регистр. Правила классификации и освидетельствования плавучих
объектов (ПКПО). 86 с. 
Правила классификации и освидетельствования плавучих объектов (ПКПО) утверждены 
приказом федерального автономного учреждения «Российский Речной Регистр» от 17.03.2017 
№ 35-п и вступили в силу с 23.03.2017. 
Настоящее переиздание Прав",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\ot_05-05-2022_no_29-p-_vvedeny_v_dejstvie_s_08-05-2022.pdf,ot_05-05-2022_no_29-p-_vvedeny_v_dejstvie_s_08-05-2022.pdf,.pdf,1444176,1.377,90,237090,2612.5,0,read,data\extracted_text\rko_izdaniya\ot_05-05-2022_no_29-p-_vvedeny_v_dejstvie_s_08-05-2022__57fe32022f.txt,"===== PAGE 1 =====
РОССИЙСКИЙ РЕЧНОЙ РЕГИСТР 
ПРАВИЛА 
ПРАВИЛА КЛАССИФИКАЦИИ 
И ОСВИДЕТЕЛЬСТВОВАНИЯ ПЛАВУЧИХ ОБЪЕКТОВ 
(ПКПО) 
 
МОСКВА 2017

===== PAGE 2 =====
Российский Речной Регистр. Правила классификации и освидетельствования плавучих 
объектов (ПКПО). 90 с. 
Правила классификации и освидетельствования плавучих объектов (ПКПО) утверждены 
приказом федерального автономного учреждения «Российский Речной Регистр» от 17.03.2017 
№ 35-п и вступили в силу с 23.03.2017. 
Настоящее переиздание Пра",
rko_izdaniya,data\rko_izdaniya\vvp\pkpo\ot_08-04-2025_no_16-p-_vvedeny_v_dejstvie_s_11-04-2025.pdf,ot_08-04-2025_no_16-p-_vvedeny_v_dejstvie_s_11-04-2025.pdf,.pdf,1383669,1.32,90,242770,2675.6,0,read,data\extracted_text\rko_izdaniya\ot_08-04-2025_no_16-p-_vvedeny_v_dejstvie_s_11-04-2025__aeb9fd9b65.txt,"===== PAGE 1 =====
Российское Классификационное Общество 
ПРАВИЛА 
КЛАССИФИКАЦИИ И 
ОСВИДЕТЕЛЬСТВОВАНИЯ 
ПЛАВУЧИХ ОБЪЕКТОВ 
(ПКПО) 
 
 
Москва 2017

===== PAGE 2 =====
Российское Классификационное Общество. Правила классификации и освидетельствова-
ния плавучих объектов (ПКПО). 
В соответствии с Уставом федерального автономного учреждения «Российское Классифи-
кационное 
Общество», 
утвержденного 
распоряжением 
Минтранса 
России 
от
05.05.2022 № ВС-117-р, федеральное автономное учреждение «Росс",
