code,name,description
01,Общие положения. Классификация. Нормативная база,Общие требования, классификация, символ класса, применимость норм
02,Общее проектирование судна и компоновка,Общесудовые проектные решения, состав проекта, компоновочные решения
03,Корпус и корпусные конструкции,Корпус, набор, обшивка, палубы, переборки, прочность
04,Остойчивость, посадка и непотопляемость,Остойчивость, крен, дифферент, аварийная плавучесть
05,Судовые устройства,Якорное, швартовное, рулевое, спасательное, грузовое и иные устройства
06,Судовые системы и трубопроводы,Балластные, осушительные, топливные, вентиляционные и иные системы
07,Энергетическая установка и механизмы,Главные двигатели, вспомогательные механизмы, котлы, валопровод
08,Электрооборудование и электроснабжение,Кабели, сети, распределение, источники питания, электроустановки
09,Автоматизация и контроль,Системы управления, КИП, АСУ ТП
10,Противопожарная защита,Огнестойкость, пожарные системы, эвакуация
11,Спасательные средства,Шлюпки, плоты, спасательные жилеты, средства индивидуальной защиты
12,Радиооборудование и навигация,Радиостанции, АИС, GPS/ГЛОНАСС, ЭКНИС
13,Сигнализация и связь,Внутрисудовая связь, тревожная сигнализация
14,Грузовая марка и вместимость,Дедвейт, грузоподъёмность, осадка, грузовая марка
15,Экологические требования,Предотвращение загрязнения, сброс отходов, выбросы
16,Эксплуатация и техническая эксплуатация,Правила эксплуатации, ТО, ремонт, ресурс
17,Конструкционные материалы,Стали, сплавы, сварка, защита от коррозии
18,Сварка и сварочные работы,Технология сварки, контроль качества, сварные соединения
19,Изоляция и покрытия,Изоляционные материалы, огнезащитные покрытия, противокоррозионные покрытия
20,Вибрация и шум,Виброизоляция, шумоизоляция, акустические требования
