2026-06-09 13:26:00.086 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:26:00.088 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=POST path=/api/v1/rag/build
2026-06-09 13:26:00.088 UTC+3 | INFO | rag_builder.api.v1.rag_routes:build:110 | POST /rag/build document_id=b26585ec-0e46-42b7-9cc0-5d59b9bca013 sections=1
2026-06-09 13:26:00.089 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=POST path=/api/v1/rag/build status=201 took_ms=1.09
2026-06-09 13:26:00.093 UTC+3 | INFO | rag_builder.chunking.service:build_chunks:15 | Chunking start document_id=70382d1e-551d-466a-b401-de9f78dd81bf sections=1 strategy=semantic_512
2026-06-09 13:26:00.093 UTC+3 | DEBUG | rag_builder.chunking.service:build_chunks:24 | Chunking section start section_id=1 type=section path=1
2026-06-09 13:26:00.093 UTC+3 | DEBUG | rag_builder.chunking.service:build_chunks:42 | Chunking section done section_id=1 chunks=3
2026-06-09 13:26:00.093 UTC+3 | INFO | rag_builder.chunking.service:build_chunks:43 | Chunking done document_id=70382d1e-551d-466a-b401-de9f78dd81bf total_chunks=3
2026-06-09 13:26:00.096 UTC+3 | INFO | rag_builder.chunking.service:build_chunks:15 | Chunking start document_id=edf04a09-cc71-4bbb-a20e-2b98ba135d70 sections=1 strategy=semantic_512
2026-06-09 13:26:00.096 UTC+3 | DEBUG | rag_builder.chunking.service:build_chunks:24 | Chunking section start section_id=2 type=table path=2
2026-06-09 13:26:00.096 UTC+3 | DEBUG | rag_builder.chunking.service:build_chunks:42 | Chunking section done section_id=2 chunks=1
2026-06-09 13:26:00.096 UTC+3 | INFO | rag_builder.chunking.service:build_chunks:43 | Chunking done document_id=edf04a09-cc71-4bbb-a20e-2b98ba135d70 total_chunks=1
2026-06-09 13:26:00.099 UTC+3 | INFO | rag_builder.embeddings.service:embed_many:18 | Embeddings start count=2 dim=1536 provider=mock
2026-06-09 13:26:00.100 UTC+3 | INFO | rag_builder.embeddings.service:embed_many:28 | Embeddings done count=2 dim=1536
2026-06-09 13:26:00.105 UTC+3 | INFO | rag_builder.embeddings.service:embed_many:18 | Embeddings start count=1 dim=3 provider=openai_compatible
2026-06-09 13:26:00.106 UTC+3 | INFO | rag_builder.embeddings.service:_embed_openai_compatible:48 | Embedding API request attempt=1 url=http://localhost:8000/v1/embeddings model=text-embedding-3-small
2026-06-09 13:26:00.106 UTC+3 | INFO | rag_builder.embeddings.service:_embed_openai_compatible:59 | Embedding API response ok vectors=1
2026-06-09 13:26:00.106 UTC+3 | INFO | rag_builder.embeddings.service:embed_many:28 | Embeddings done count=1 dim=3
2026-06-09 13:26:00.110 UTC+3 | INFO | rag_builder.embeddings.service:embed_many:18 | Embeddings start count=1 dim=3 provider=openai_compatible
2026-06-09 13:26:00.111 UTC+3 | INFO | rag_builder.embeddings.service:_embed_openai_compatible:48 | Embedding API request attempt=1 url=http://localhost:8000/v1/embeddings model=text-embedding-3-small
2026-06-09 13:26:00.111 UTC+3 | ERROR | rag_builder.embeddings.service:_embed_openai_compatible:63 | Embedding API call failed attempt=1
2026-06-09 13:29:18.940 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/api/v1/health
2026-06-09 13:29:18.941 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/api/v1/health status=404 took_ms=0.67
2026-06-09 13:29:18.943 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/api/v1/health
2026-06-09 13:29:18.944 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/api/v1/health status=404 took_ms=0.62
2026-06-09 13:29:18.948 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=POST path=/api/v1/rag/build
2026-06-09 13:29:18.957 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=POST path=/api/v1/rag/build status=422 took_ms=9.31
2026-06-09 13:32:18.545 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:32:18.558 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:32:46.346 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/api/v1/health
2026-06-09 13:32:46.347 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/api/v1/health status=404 took_ms=0.62
2026-06-09 13:32:46.349 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/api/v1/health
2026-06-09 13:32:46.349 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/api/v1/health status=404 took_ms=0.48
2026-06-09 13:32:46.352 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=POST path=/api/v1/rag/build
2026-06-09 13:32:46.362 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=POST path=/api/v1/rag/build status=422 took_ms=10.09
2026-06-09 13:33:26.283 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:33:26.297 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:33:34.104 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/api/v1/health
2026-06-09 13:33:34.105 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/api/v1/health status=404 took_ms=0.60
2026-06-09 13:33:34.108 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/api/v1/health
2026-06-09 13:33:34.109 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/api/v1/health status=404 took_ms=1.11
2026-06-09 13:33:34.115 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=POST path=/api/v1/rag/build
2026-06-09 13:33:34.124 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=POST path=/api/v1/rag/build status=422 took_ms=9.57
2026-06-09 13:37:13.962 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/openapi.json
2026-06-09 13:37:14.029 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/openapi.json status=200 took_ms=66.36
2026-06-09 13:39:44.166 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:39:44.205 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:39:55.258 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/openapi.json
2026-06-09 13:39:55.317 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/openapi.json status=200 took_ms=59.43
2026-06-09 13:42:32.002 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:42:32.016 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:42:40.083 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/openapi.json
2026-06-09 13:42:40.149 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/openapi.json status=200 took_ms=66.06
2026-06-09 13:43:36.219 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:43:36.228 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:43:47.252 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:43:47.282 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:45:23.447 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:45:23.476 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:45:29.602 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/openapi.json
2026-06-09 13:45:29.665 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/openapi.json status=200 took_ms=63.11
2026-06-09 13:53:36.994 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
2026-06-09 13:53:37.000 UTC+3 | INFO | rag_builder.api.app:create_app:16 | Application startup ready
2026-06-09 13:53:43.897 UTC+3 | INFO | rag_builder.api.middleware:dispatch:18 | Request start method=GET path=/openapi.json
2026-06-09 13:53:43.950 UTC+3 | INFO | rag_builder.api.middleware:dispatch:21 | Request done method=GET path=/openapi.json status=200 took_ms=52.65
2026-06-09 14:17:25.847 UTC+3 | INFO | rag_builder.api.app:create_app:12 | Application startup init
